Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
Alexander Yakovlev,0.225,18.25,1.2,0.125,35.0,4.5
Alexandr Romanov,0.0,33.95,2.7,0.7,65.0,3.5
Alexandre Barros,0.0,8.0,1.0,0.0,0.0,1.0
Alexandre Dantas,0.0,7.5,1.0,0.5,0.0,2.0
Alexandre Ferreira,0.0,6.0,0.0,0.0,0.0,1.0
Alexandre Pantoja,0.21428571428571427,40.65714285714286,0.9857142857142857,0.9428571428571428,72.85714285714286,6.0
Alexis Davis,0.0,51.79166666666667,0.8333333333333333,0.6666666666666667,56.25,7.0
Alexis Dufresne,0.0,20.0,1.5,0.0,0.0,2.0
Alfonso Alcarez,0.0,34.0,1.0,0.0,0.0,1.0
Ali AlQaisi,0.0,36.5,3.5,1.0,0.0,1.0
Ali Bagautinov,1.0,42.75,2.833333333333333,0.5833333333333334,75.0,3.5
Aliaskhab Khizriev,0.0,42.0,2.0,1.0,100.0,1.0
Alistair Overeem,0.5050505050505051,36.27777777777778,0.5151515151515151,0.14646464646464646,60.606060606060595,10.0
Aljamain Sterling,0.0,58.401515151515156,1.8484848484848486,0.7045454545454546,78.78787878787878,8.5
Allan Goes,1.0,36.0,0.0,0.0,0.0,1.0
Allan Nascimento,0.0,16.666666666666668,1.3333333333333333,1.0,66.66666666666666,3.0
Allan Zuniga,0.0,59.0,0.0,1.0,0.0,1.0
Allen Berube,0.0,4.0,2.0,1.0,0.0,1.0
Allen Crowder,0.0,6.75,0.25,0.25,25.0,1.5
Alonzo Menifield,0.375,31.416666666666668,0.41666666666666663,0.08333333333333333,58.33333333333333,5.0
Alptekin Ozkilic,0.0,40.66666666666667,3.333333333333333,0.0,50.0,2.0
Alvaro Herrera Mendoza,0.25,6.25,0.0,0.25,25.0,2.0
Alvin Robinson,0.0,14.25,0.75,0.75,25.0,2.0
Amanda Cooper,0.0,29.0,0.8333333333333334,1.0,33.33333333333333,3.0
Amanda Lemos,0.5833333333333333,29.75,0.4166666666666667,0.3333333333333333,75.0,4.5
Amanda Nunes,0.43939393939393934,47.20454545454545,1.7954545454545454,0.5303030303030303,87.12121212121212,8.5
Amanda Ribas,0.0,54.25,1.625,0.75,75.0,4.0
Amar Suloev,0.0,17.5,0.5,0.5,0.0,1.0
Amaury Bitetti,0.0,4.0,0.0,0.0,50.0,1.0
Amilcar Alves,0.0,7.0,0.0,0.0,0.0,1.0
Amir Albazi,0.3333333333333333,25.5,1.3333333333333335,0.6666666666666666,100.0,2.0
Amir Sadollah,0.0,62.785714285714285,0.5714285714285714,0.21428571428571427,58.92857142857143,5.5
Anderson Dos Santos,0.0,31.333333333333336,0.5,0.3333333333333333,16.666666666666664,2.0
Anderson Silva,0.7147435897435898,33.19551282051282,0.12179487179487179,0.23717948717948717,67.3076923076923,12.5
Andre Ewell,0.125,59.525,0.325,0.1,47.5,4.5
Andre Fialho,0.3333333333333333,24.416666666666664,0.0,0.0,33.33333333333333,2.5
Andre Fili,0.22619047619047616,42.589285714285715,1.8214285714285714,0.19642857142857142,53.57142857142857,9.5
Andre Gusmao,0.0,25.5,0.0,0.0,0.0,1.0
Andre Muniz,0.0,14.5,1.875,1.25,87.5,3.0
Andre Pederneiras,0.0,10.0,0.0,0.0,0.0,1.0
Andre Petroski,0.0,40.83333333333333,5.333333333333333,2.333333333333333,100.0,2.0
Andre Roberts,0.5,6.0,0.0,0.0,50.0,1.5
Andre Soukhamthath,0.9166666666666666,36.916666666666664,1.1666666666666665,0.125,29.166666666666664,3.5
Andre Winner,0.2,41.3,0.0,0.0,60.0,3.0
Andrea Lee,0.08333333333333333,71.58333333333334,1.9583333333333335,0.5,50.0,5.0
Andreas Michailidis,0.0,29.25,0.75,0.0,25.0,4.0
Andreas Stahl,0.0,27.5,1.0,0.0,0.0,2.0
Andrei Arlovski,0.2554347826086957,36.600543478260875,0.21467391304347827,0.1467391304347826,58.559782608695656,19.5
Andrei Semenov,0.5,5.0,0.5,0.5,50.0,1.0
Andrew Craig,0.29166666666666663,29.791666666666668,0.4583333333333333,0.0,41.666666666666664,3.5
Andrew Holbrook,0.0,21.0,1.0,1.75,62.5,2.5
Andrew Sanchez,0.3333333333333333,56.33333333333333,2.375,0.0,45.83333333333333,5.0
Andy Anderson,0.0,2.0,0.0,0.0,0.0,1.0
Andy Enz,0.0,28.25,0.0,0.0,0.0,1.5
Andy Ogle,0.25,29.25,1.25,0.0,25.0,3.0
Andy Wang,0.0,4.0,0.0,0.0,0.0,1.0
Ange Loosa,0.0,108.5,1.0,0.0,50.0,1.0
Angela Hill,0.14957264957264957,78.67521367521368,0.5470085470085471,0.07692307692307693,43.58974358974359,11.0
Angela Magana,0.0,16.25,0.5,0.5,0.0,1.5
Anistavio Medeiros,0.0,8.0,0.0,0.0,0.0,1.0
Anna Elmose,0.5,34.5,0.0,0.0,0.0,1.0
Ansar Chalangov,0.0,2.0,0.0,1.5,0.0,1.0
Anshul Jubli,0.0,38.0,2.0,1.0,100.0,1.0
Anthony Birchak,1.0,18.7,0.1,0.1,60.0,3.0
Anthony Christodoulou,0.0,20.0,0.0,0.0,0.0,1.0
Anthony Hamilton,0.08333333333333333,27.041666666666668,1.25,0.0,33.33333333333333,5.0
Anthony Hernandez,0.0,32.5,3.6666666666666665,1.3333333333333335,66.66666666666666,3.0
Anthony Ivy,0.0,20.0,2.5,0.0,0.0,1.0
Anthony Johnson,0.6833333333333333,19.916666666666664,0.9888888888888889,0.26111111111111107,68.33333333333333,9.5
Anthony Lapsley,0.0,5.0,0.0,0.0,0.0,1.0
Anthony Macias,0.0,4.0,0.0,0.0,25.0,1.5
Anthony Njokuani,0.125,53.375,0.375,0.125,37.5,4.0
Anthony Perosh,0.14285714285714285,11.5,0.6714285714285714,0.3857142857142857,38.57142857142857,6.0
Anthony Pettis,0.2,38.45,0.4,0.55,55.0,10.0
Anthony Rocco Martin,0.16666666666666666,33.05555555555556,0.6111111111111112,0.8888888888888888,58.33333333333333,7.5
Anthony Smith,0.4285714285714286,30.660714285714285,0.3035714285714286,0.3392857142857143,57.142857142857146,9.0
Anthony Torres,0.0,12.0,0.0,0.5,50.0,1.0
Anton Kuivanen,0.0,25.75,0.75,0.25,25.0,1.5
Anton Turkalj,0.0,17.0,2.5,0.0,0.0,1.0
Anton Zafir,0.0,11.0,1.5,0.0,0.0,2.0
